"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984686","50","SOC. ANONIMA","CHIVIL LUBRI","L","LEGAL","FRAY J. SANTAMARIA DE ORO","2652","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984688","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GRUPOFERTA","L","LEGAL","PASTEUR","277","CAPITAL FEDERAL","CAPITAL FEDERAL","1028"
"1984689","170","UNION TRANSITORIA","POSE S.A. - RACAVAL S.A. - UNION TRANSITORIA","L","LEGAL","ARENALES","1999","CAPITAL FEDERAL","",""
"1984690","50","SOC. ANONIMA","GENIX INTERNATIONAL CLINIC GROUP","L","LEGAL","ARENALES","1658","CAPITAL FEDERAL","",""
"1984691","50","SOC. ANONIMA","CITARE","L","LEGAL","NAVARRO","3695","CAPITAL FEDERAL","",""
"1984692","50","SOC. ANONIMA","JANAX","L","LEGAL","AZURDUY JUANA","1570","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984693","50","SOC. ANONIMA","CIUDAD N2","L","LEGAL","JURAMENTO","1475","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984696","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KUNVENO","L","LEGAL","CONGRESO AV.","4118","CAPITAL FEDERAL","CAPITAL FEDERAL","1430"
"1984697","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TANDILU","L","LEGAL","CRAMER AV.","3036","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984698","100","ASOCIACION CIVIL","CONSTRUYENDO PUENTES","L","LEGAL","LAVALLE","1567","CAPITAL FEDERAL","",""
"1984700","50","SOC. ANONIMA","SALGUERO CONDO","L","LEGAL","SALGUERO JERONIMO","835","CAPITAL FEDERAL","CAPITAL FEDERAL","1177"
"1984701","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","EMPRENDIMIENTOS MOSCU","L","LEGAL","MORENO","2275","CAPITAL FEDERAL","CAPITAL FEDERAL","1094"
"1984702","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CODIGO MORCE","L","LEGAL","CAMPICHUELO","79","CAPITAL FEDERAL","CAPITAL FEDERAL","1405"
"1984703","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PSR CONSTRUCCIONES","L","LEGAL","AVENIDA CORRIENTES","1670","CAPITAL FEDERAL","",""
"1984704","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LEARNVILLE","L","LEGAL","SARMIENTO","378","CAPITAL FEDERAL","CAPITAL FEDERAL","1041"
"1984705","50","SOC. ANONIMA","E.K.E.","L","LEGAL","ZABALA","1995","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
