"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1944535","50","SOC. ANONIMA","THE STAGE COMPANY","O","Ordinaria","","20210920","20211229"
"1944537","50","SOC. ANONIMA","TARKETT ARGENTINA","O","Ordinaria","","20200814","20220610"
"1944537","50","SOC. ANONIMA","TARKETT ARGENTINA","O","Ordinaria","","20210720","20220818"
"1944537","50","SOC. ANONIMA","TARKETT ARGENTINA","O","Ordinaria","","20220614","20221206"
"1944560","100","ASOCIACION CIVIL","METROPOLITANA DE EDITORES PERIODISTICOS,A.C.M.E.P.","O","Ordinaria","9185566","20200715","20201230"
"1944587","50","SOC. ANONIMA","ALLSNACKS","O","Ordinaria","","20201030","20210909"
"1944587","50","SOC. ANONIMA","ALLSNACKS","O","Ordinaria","","20211029","20220523"
"1944587","50","SOC. ANONIMA","ALLSNACKS","O","Ordinaria","","20221031","20221216"
"1944589","50","SOC. ANONIMA","CAMPOS SUR BONAERENSE","O","Ordinaria","","20201103","20220920"
"1944589","50","SOC. ANONIMA","CAMPOS SUR BONAERENSE","O","Ordinaria","","20211027","20220920"
"1944590","50","SOC. ANONIMA","ESTABLECIMIENTO SAUCE GRANDE","O","Ordinaria","","20201113","20210616"
"1944595","50","SOC. ANONIMA","GOÑI LEMOINE","O","Ordinaria","","20201103","20210413"
"1944595","50","SOC. ANONIMA","GOÑI LEMOINE","O","Ordinaria","","20211027","20220920"
"1944599","50","SOC. ANONIMA","ENERLAND FOTOVOLTAICA","O","Ordinaria","","20200703","20220125"
"1944599","50","SOC. ANONIMA","ENERLAND FOTOVOLTAICA","O","Ordinaria","","20210616","20211014"
"1944633","100","ASOCIACION CIVIL","IMPACTO DIGITAL","O","Ordinaria","9430112","20220428","20220805"
"1944633","100","ASOCIACION CIVIL","IMPACTO DIGITAL","O","Ordinaria","9396373","","20220601"
"1944633","100","ASOCIACION CIVIL","IMPACTO DIGITAL","O","Ordinaria","9245203","","20210810"
"1944688","50","SOC. ANONIMA","GOBIO","O","Ordinaria","","20201030","20210430"
"1944688","50","SOC. ANONIMA","GOBIO","O","Ordinaria","","20211029","20220211"
"1944688","50","SOC. ANONIMA","GOBIO","O","Ordinaria","","20221012","20221027"
"1944816","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","QUIES MENTIS","O","Ordinaria","","20210716","20210917"
"1944992","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CROSS ENTROPY SOLUTIONS","O","Ordinaria","","20211119","20220803"
"1944992","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CROSS ENTROPY SOLUTIONS","O","Ordinaria","","20211214","20220726"
"1944992","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CROSS ENTROPY SOLUTIONS","O","Ordinaria","","20220718","20221025"
"1945033","50","SOC. ANONIMA","TPE HOLDING","O","Ordinaria","","20201218","20221229"
"1945033","50","SOC. ANONIMA","TPE HOLDING","O","Ordinaria","","20210426","20221229"
"1945033","50","SOC. ANONIMA","TPE HOLDING","O","Ordinaria","","20220426","20221229"
"1945045","50","SOC. ANONIMA","EOLICA PASO MAYOR","O","Ordinaria","","20201209","20220623"
"1945051","50","SOC. ANONIMA","S Y D LAFUENTE","O","Ordinaria","","20200710","20210426"
"1945051","50","SOC. ANONIMA","S Y D LAFUENTE","O","Ordinaria","","20210712","20210917"
"1945051","50","SOC. ANONIMA","S Y D LAFUENTE","O","Ordinaria","","20220704","20220913"
"1945054","50","SOC. ANONIMA","26 DE JUNIO","O","Ordinaria","","20220706","20230203"
"1945055","50","SOC. ANONIMA","LAS RICHIS","O","Ordinaria","","20200710","20210604"
"1945055","50","SOC. ANONIMA","LAS RICHIS","O","Ordinaria","","20210630","20211119"
"1945055","50","SOC. ANONIMA","LAS RICHIS","O","Ordinaria","","20220706","20230102"
"1945138","50","SOC. ANONIMA","CAMBIO JURAMENTO","O","Ordinaria","","20200408","20211012"
"1945147","50","SOC. ANONIMA","HACIENDOLE METROS","O","Ordinaria","","20200312","20220209"
"1945147","50","SOC. ANONIMA","HACIENDOLE METROS","O","Ordinaria","","20210416","20220211"
"1945157","50","SOC. ANONIMA","CONSULTORA NUEVA BUENOS AIRES","O","Ordinaria","","20201027","20210923"
"1945157","50","SOC. ANONIMA","CONSULTORA NUEVA BUENOS AIRES","O","Ordinaria","","20210726","20210923"
"1945170","50","SOC. ANONIMA","LAS TERAS","O","Ordinaria","","20201009","20211123"
"1945194","50","SOC. ANONIMA","TANQUEROS ARGENTINOS","O","Ordinaria","","20200430","20220601"
"1945234","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GSJ BAIRES","O","Ordinaria","","20220831","20230113"
"1945241","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BIENESTAR PARA TODOS","O","Ordinaria","","20210526","20211115"
"1945241","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BIENESTAR PARA TODOS","O","Ordinaria","","20220408","20220830"
"1945248","50","SOC. ANONIMA","FIDUAD","O","Ordinaria","","20201214","20220801"
"1945248","50","SOC. ANONIMA","FIDUAD","O","Ordinaria","","20211112","20220801"
"1945259","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ACON TIMBER","O","Ordinaria","9216149","20201022","20210505"
"1945259","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ACON TIMBER","O","Ordinaria","9483332","20220317","20221117"
"1945259","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","ACON TIMBER","O","Ordinaria","9483330","20220330","20221117"
"1945449","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","MOHN DRILLING","O","Ordinaria","9208773","20201109","20210406"
"1945449","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","MOHN DRILLING","O","Ordinaria","9356461","20210420","20220311"
"1945472","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","LEONIS","O","Ordinaria","","20211029","20221110"
"1945476","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NF GROUP","O","Ordinaria","","20201119","20220222"
"1945476","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NF GROUP","O","Ordinaria","","20210811","20220222"
"1945480","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NORTHWEST STEAK","O","Ordinaria","","20211029","20221110"
"1945547","50","SOC. ANONIMA","SERVICIOS VM","O","Ordinaria","","20220203","20220801"
"1945579","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WL PLATFORMS","O","Ordinaria","9242143","20210503","20210730"
"1945579","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","WL PLATFORMS","O","Ordinaria","9399238","20220527","20220607"
"1945587","50","SOC. ANONIMA","TATI TOYS","O","Ordinaria","","20200731","20220713"
"1945587","50","SOC. ANONIMA","TATI TOYS","O","Ordinaria","","20210730","20220720"
"1945587","50","SOC. ANONIMA","TATI TOYS","O","Ordinaria","","20220729","20221108"
"1945589","50","SOC. ANONIMA","DP FACTORY","O","Ordinaria","9250967","20200514","20210811"
"1945589","50","SOC. ANONIMA","DP FACTORY","O","Ordinaria","9210839","20210420","20210407"
"1945589","50","SOC. ANONIMA","DP FACTORY","O","Ordinaria","9361122","20220413","20220322"
"1945700","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NULINGA ARGENTINA","O","Ordinaria","","20220517","20230213"
"1945700","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","NULINGA ARGENTINA","O","Ordinaria","","20220603","20230213"
"1945732","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","HARDINEROS","O","Ordinaria","","20220510","20220811"
"1945733","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SYCOMP TECHNOLOGIES","O","Ordinaria","","20210818","20221013"
